step,track,model,dataset,Memory in Mb,Time in s,MAE,RMSE
672,Regression,FIMTDD,trumpapproval,0.0,0.8466702079986135,0.0,0.0
693,Regression,FIMTDD,trumpapproval,0.0,0.873932499998773,0.0,0.0
714,Regression,FIMTDD,trumpapproval,0.0,0.9007977499986736,0.0,0.0
735,Regression,FIMTDD,trumpapproval,0.0,0.9281275409994124,0.0,0.0
756,Regression,FIMTDD,trumpapproval,0.0,0.9551827079994836,0.0,0.0
777,Regression,FIMTDD,trumpapproval,0.0,0.9820970829987344,0.0,0.0
798,Regression,FIMTDD,trumpapproval,0.0,1.008803832999547,0.0,0.0
819,Regression,FIMTDD,trumpapproval,0.0,1.0361110829999234,0.0,0.0
840,Regression,FIMTDD,trumpapproval,0.0,1.0631440409997597,0.0,0.0
861,Regression,FIMTDD,trumpapproval,0.0,1.089702249999391,0.0,0.0
882,Regression,FIMTDD,trumpapproval,0.0,1.116924874999313,0.0,0.0
903,Regression,FIMTDD,trumpapproval,0.0,1.1442142500000043,0.0,0.0
924,Regression,FIMTDD,trumpapproval,0.0,1.1717574999984208,0.0,0.0
945,Regression,FIMTDD,trumpapproval,0.0,1.198879790999854,0.0,0.0
966,Regression,FIMTDD,trumpapproval,0.0,1.2258219579998697,0.0,0.0
987,Regression,FIMTDD,trumpapproval,0.0,1.2532773749990156,0.0,0.0
21,Regression,ARFFIMTDD,trumpapproval,0.0,0.0262660830012464,0.0,0.0
42,Regression,ARFFIMTDD,trumpapproval,0.0,0.0516437500009487,0.0,0.0
63,Regression,ARFFIMTDD,trumpapproval,0.0,0.0775663750009698,0.0,0.0
84,Regression,ARFFIMTDD,trumpapproval,0.0,0.1035559580013796,0.0,0.0
105,Regression,ARFFIMTDD,trumpapproval,0.0,0.1297655410016887,0.0,0.0
126,Regression,ARFFIMTDD,trumpapproval,0.0,0.1557112910013529,0.0,0.0
147,Regression,ARFFIMTDD,trumpapproval,0.0,0.181566750001366,0.0,0.0
168,Regression,ARFFIMTDD,trumpapproval,0.0,0.2076029580002796,0.0,0.0
189,Regression,ARFFIMTDD,trumpapproval,0.0,0.2334154160016623,0.0,0.0
210,Regression,ARFFIMTDD,trumpapproval,0.0,0.2584152500003256,0.0,0.0
231,Regression,ARFFIMTDD,trumpapproval,0.0,0.2845922080014134,0.0,0.0
252,Regression,ARFFIMTDD,trumpapproval,0.0,0.3109992910012806,0.0,0.0
273,Regression,ARFFIMTDD,trumpapproval,0.0,0.337782666001658,0.0,0.0
294,Regression,ARFFIMTDD,trumpapproval,0.0,0.3640873330004979,0.0,0.0
315,Regression,ARFFIMTDD,trumpapproval,0.0,0.3904445000007399,0.0,0.0
336,Regression,ARFFIMTDD,trumpapproval,0.0,0.4164314160007052,0.0,0.0
357,Regression,ARFFIMTDD,trumpapproval,0.0,0.4425715410015982,0.0,0.0
378,Regression,ARFFIMTDD,trumpapproval,0.0,0.4686995000010938,0.0,0.0
399,Regression,ARFFIMTDD,trumpapproval,0.0,0.4947059580008499,0.0,0.0
420,Regression,ARFFIMTDD,trumpapproval,0.0,0.5214201660000981,0.0,0.0
441,Regression,ARFFIMTDD,trumpapproval,0.0,0.5486176250014978,0.0,0.0
462,Regression,ARFFIMTDD,trumpapproval,0.0,0.5749964580008964,0.0,0.0
483,Regression,ARFFIMTDD,trumpapproval,0.0,0.6018934580006317,0.0,0.0
504,Regression,ARFFIMTDD,trumpapproval,0.0,0.6282610000016575,0.0,0.0
525,Regression,ARFFIMTDD,trumpapproval,0.0,0.6553425410002092,0.0,0.0
546,Regression,ARFFIMTDD,trumpapproval,0.0,0.6823416660008661,0.0,0.0
567,Regression,ARFFIMTDD,trumpapproval,0.0,0.709363416000997,0.0,0.0
588,Regression,ARFFIMTDD,trumpapproval,0.0,0.7358968330008793,0.0,0.0
609,Regression,ARFFIMTDD,trumpapproval,0.0,0.7625115000009828,0.0,0.0
630,Regression,ARFFIMTDD,trumpapproval,0.0,0.7893122500008758,0.0,0.0
651,Regression,ARFFIMTDD,trumpapproval,0.0,0.8161028330014233,0.0,0.0
672,Regression,ARFFIMTDD,trumpapproval,0.0,0.8426473750005243,0.0,0.0
693,Regression,ARFFIMTDD,trumpapproval,0.0,0.8694904160001897,0.0,0.0
714,Regression,ARFFIMTDD,trumpapproval,0.0,0.8958069160016748,0.0,0.0
735,Regression,ARFFIMTDD,trumpapproval,0.0,0.9228477080014272,0.0,0.0
756,Regression,ARFFIMTDD,trumpapproval,0.0,0.9503542080001351,0.0,0.0
777,Regression,ARFFIMTDD,trumpapproval,0.0,0.97760612500133,0.0,0.0
798,Regression,ARFFIMTDD,trumpapproval,0.0,1.0050734579999698,0.0,0.0
819,Regression,ARFFIMTDD,trumpapproval,0.0,1.0322446660011335,0.0,0.0
840,Regression,ARFFIMTDD,trumpapproval,0.0,1.060014291000698,0.0,0.0
861,Regression,ARFFIMTDD,trumpapproval,0.0,1.0870374580008502,0.0,0.0
882,Regression,ARFFIMTDD,trumpapproval,0.0,1.1141351660007786,0.0,0.0
903,Regression,ARFFIMTDD,trumpapproval,0.0,1.1412143330016988,0.0,0.0
924,Regression,ARFFIMTDD,trumpapproval,0.0,1.168298833001245,0.0,0.0
945,Regression,ARFFIMTDD,trumpapproval,0.0,1.1953777080016152,0.0,0.0
966,Regression,ARFFIMTDD,trumpapproval,0.0,1.2219788330003212,0.0,0.0
987,Regression,ARFFIMTDD,trumpapproval,0.0,1.2978336250016582,0.0,0.0
21,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.0261694159999024,0.0,0.0
42,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.0524684160009201,0.0,0.0
63,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.0784399999993183,0.0,0.0
84,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.1052405829996132,0.0,0.0
105,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.1315395830006309,0.0,0.0
126,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.157819833000758,0.0,0.0
147,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.183567457999743,0.0,0.0
168,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.2097553330004302,0.0,0.0
189,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.2356647079996037,0.0,0.0
210,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.2622466659995552,0.0,0.0
231,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.2890971659999195,0.0,0.0
252,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.3159736249999696,0.0,0.0
273,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.3430165410009067,0.0,0.0
294,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.3705280829999537,0.0,0.0
315,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.397187083000972,0.0,0.0
336,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.4234964160004892,0.0,0.0
357,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.4506147499996586,0.0,0.0
378,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.4769032500007597,0.0,0.0
399,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.5029817499998899,0.0,0.0
420,Regression,AdaptiveRandomForestRegressor,trumpapproval,0.0,0.529980916000568,0.0,0.0
