step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
9520,Binary classification,AdaptiveRandomForestClassifier,smtp,633.078125,9.155370917000257,0,0,
11424,Binary classification,AdaptiveRandomForestClassifier,smtp,637.53125,10.986688500001035,0,0,
13328,Binary classification,AdaptiveRandomForestClassifier,smtp,641.953125,12.747724792001463,0,0,
15232,Binary classification,AdaptiveRandomForestClassifier,smtp,646.359375,14.529315667001356,0,0,
17136,Binary classification,AdaptiveRandomForestClassifier,smtp,650.78125,16.341354459000286,0,0,
19040,Binary classification,AdaptiveRandomForestClassifier,smtp,655.203125,18.10707524999998,0,0,
20944,Binary classification,AdaptiveRandomForestClassifier,smtp,659.640625,19.874378292000983,0,0,
22848,Binary classification,AdaptiveRandomForestClassifier,smtp,664.03125,21.728178375000425,0,0,
24752,Binary classification,AdaptiveRandomForestClassifier,smtp,662.359375,23.553018709000753,0,0,
26656,Binary classification,AdaptiveRandomForestClassifier,smtp,666.8125,25.315835917001095,0,0,
28560,Binary classification,AdaptiveRandomForestClassifier,smtp,671.203125,27.116711833999943,0,0,
30464,Binary classification,AdaptiveRandomForestClassifier,smtp,675.640625,28.93196745900059,0,0,
32368,Binary classification,AdaptiveRandomForestClassifier,smtp,680.0625,30.752402000000075,0,0,
34272,Binary classification,AdaptiveRandomForestClassifier,smtp,684.46875,32.57816154200009,0,0,
36176,Binary classification,AdaptiveRandomForestClassifier,smtp,688.90625,34.34023779200106,0,0,
38080,Binary classification,AdaptiveRandomForestClassifier,smtp,693.3125,36.14847633400131,0,0,
39984,Binary classification,AdaptiveRandomForestClassifier,smtp,697.75,37.915322709000975,0,0,
41888,Binary classification,AdaptiveRandomForestClassifier,smtp,702.171875,39.788045167000746,0,0,
43792,Binary classification,AdaptiveRandomForestClassifier,smtp,706.609375,41.73425129200041,0,0,
45696,Binary classification,AdaptiveRandomForestClassifier,smtp,711,43.501624167000045,0,0,
47600,Binary classification,AdaptiveRandomForestClassifier,smtp,715.421875,45.33009691700136,0,0,
49504,Binary classification,AdaptiveRandomForestClassifier,smtp,719.84375,47.18141171,0,0,
51408,Binary classification,AdaptiveRandomForestClassifier,smtp,724.25,48.959247167000285,0,0,
53312,Binary classification,AdaptiveRandomForestClassifier,smtp,728.65625,50.80849641700115,0,0,
55216,Binary classification,AdaptiveRandomForestClassifier,smtp,733.09375,52.594505292001486,0,0,
57120,Binary classification,AdaptiveRandomForestClassifier,smtp,737.515625,54.41869104200123,0,0,
59024,Binary classification,AdaptiveRandomForestClassifier,smtp,741.953125,56.28357312499975,0,0,
60928,Binary classification,AdaptiveRandomForestClassifier,smtp,746.375,58.19233046,0,0,
62832,Binary classification,AdaptiveRandomForestClassifier,smtp,750.8125,60.07630729199991,0,0,
64736,Binary classification,AdaptiveRandomForestClassifier,smtp,755.234375,61.86745654200058,0,0,
66640,Binary classification,AdaptiveRandomForestClassifier,smtp,759.625,63.65251029200044,0,0,
68544,Binary classification,AdaptiveRandomForestClassifier,smtp,764.046875,65.45481816699976,0,0,
70448,Binary classification,AdaptiveRandomForestClassifier,smtp,768.46875,67.29345670900148,0,0,
72352,Binary classification,AdaptiveRandomForestClassifier,smtp,772.90625,69.25869366700135,0,0,
74256,Binary classification,AdaptiveRandomForestClassifier,smtp,777.328125,71.17353816700052,0,0,
76160,Binary classification,AdaptiveRandomForestClassifier,smtp,781.734375,73.09180550000019,0,0,
78064,Binary classification,AdaptiveRandomForestClassifier,smtp,786.1875,74.91617704200144,0,0,
79968,Binary classification,AdaptiveRandomForestClassifier,smtp,790.578125,76.82117199999993,0,0,
81872,Binary classification,AdaptiveRandomForestClassifier,smtp,795,78.78459466700042,0,0,
83776,Binary classification,AdaptiveRandomForestClassifier,smtp,799.4375,80.68708175000029,0,0,
85680,Binary classification,AdaptiveRandomForestClassifier,smtp,803.828125,82.49192975000005,0,0,
87584,Binary classification,AdaptiveRandomForestClassifier,smtp,808.25,84.31069046,0,0,
89488,Binary classification,AdaptiveRandomForestClassifier,smtp,812.671875,86.11355337500027,0,0,
91392,Binary classification,AdaptiveRandomForestClassifier,smtp,817.09375,88.04118954200021,0,0,
93296,Binary classification,AdaptiveRandomForestClassifier,smtp,821.515625,89.97098470899982,0,0,
106,Binary classification,CSMOTE,bananas,594.953125,0.00975175,106,0.490566038,
212,Binary classification,CSMOTE,bananas,595.265625,0.019243583,106,0.5283018867924528,
318,Binary classification,CSMOTE,bananas,598.359375,0.039943416,106,0.5314465408805031,
424,Binary classification,CSMOTE,bananas,601.1875,0.051679,106,0.5400943396226415,
530,Binary classification,CSMOTE,bananas,603.453125,0.1014875000000756,106,0.5547169811320755,
636,Binary classification,CSMOTE,bananas,603.5,0.1123980409993237,106,0.5550314465408805,
742,Binary classification,CSMOTE,bananas,603.5,0.1237208330003341,106,0.5660377358490566,
848,Binary classification,CSMOTE,bananas,603.8125,0.1355370410001342,106,0.5636792452830188,
954,Binary classification,CSMOTE,bananas,603.828125,0.1475494160004018,106,0.5649895178197065,
1060,Binary classification,CSMOTE,bananas,605.75,0.1589775829997961,106,0.5707547169811321,
1166,Binary classification,CSMOTE,bananas,605.765625,0.1706107909994898,106,0.5686106346483705,
1272,Binary classification,CSMOTE,bananas,605.765625,0.2162677500000427,106,0.5644654088050315,
1378,Binary classification,CSMOTE,bananas,605.765625,0.2280183330003637,106,0.5682148040638607,
1484,Binary classification,CSMOTE,bananas,605.78125,0.2404246660007629,106,0.5680592991913747,
1590,Binary classification,CSMOTE,bananas,605.796875,0.2529376250004134,106,0.5679245283018868,
1696,Binary classification,CSMOTE,bananas,606.515625,0.3003418749995035,106,0.5683962264150944,
1802,Binary classification,CSMOTE,bananas,606.53125,0.3136483750004117,106,0.5643729189789123,
1908,Binary classification,CSMOTE,bananas,606.53125,0.3265834160010854,106,0.560272537,
2014,Binary classification,CSMOTE,bananas,606.53125,0.3759460000001127,106,0.5551142005958292,
2120,Binary classification,CSMOTE,bananas,606.53125,0.3895787500005099,106,0.5509433962264151,
2226,Binary classification,CSMOTE,bananas,606.53125,0.4032282909993228,106,0.5512129380053908,
2332,Binary classification,CSMOTE,bananas,606.953125,0.4525023749993124,106,0.5506003430531733,
2438,Binary classification,CSMOTE,bananas,606.953125,0.4669345410002279,106,0.551681706,
2544,Binary classification,CSMOTE,bananas,606.953125,0.5165603750010632,106,0.5487421383647799,
2650,Binary classification,CSMOTE,bananas,606.953125,0.5314674580004066,106,0.5467924528301886,
2756,Binary classification,CSMOTE,bananas,606.953125,0.5467899159993976,106,0.5471698113207547,
2862,Binary classification,CSMOTE,bananas,607.328125,0.5982974159996957,106,0.5489168413696716,
2968,Binary classification,CSMOTE,bananas,607.34375,0.6138584159998572,106,0.5505390835579514,
3074,Binary classification,CSMOTE,bananas,607.34375,0.6677614580003137,106,0.5487963565387117,
